player_name,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
Scoot Henderson,63.77708962491509,57.113823264132144,61.60400080079454,54.458687098543926,38.12175382604342,59.81945637358025,76.22596774193548,58.18673612660358
Tyrese Haliburton,77.61180435323179,91.52478966440432,67.78084150428785,62.11894949355009,36.03166818730125,74.8933840075996,85.63255620723359,78.21073134433973
Peyton Watson,56.47491526502754,43.07841198973027,55.426389880393494,76.38365243476946,45.2428051395831,48.74649272968145,77.58246334310851,61.14838771300398
Grant Williams,66.41691466213572,44.46471742778236,60.64555305982306,63.93000258557517,49.231486348417334,53.474864964527924,79.449027370479,64.57918990390758
Oso Ighodaro,39.10879304972015,47.52926919198764,58.66607213084282,66.35838974631702,51.284481543933225,42.19681860528259,76.33268328445747,59.63639664269848
Precious Achiuwa,47.514118570154025,39.92577659123441,55.012298252044474,65.68162414588434,69.56741679744616,49.907705580909514,76.52009705348414,61.48058608924133
Quentin Grimes,71.21048181434529,51.550364975011036,58.25923408989041,56.74728759778062,37.01448212907782,56.961911688957315,77.81154838709679,63.31346825028511
Quenton Jackson,53.694249110418326,61.565535763351036,62.543779264734866,58.887063057351526,41.00228750451113,50.68610441085,79.52638929618769,60.166497679896146
Quinten Post,68.73147134384604,47.5616791590124,55.77245847702022,65.01513399196746,52.74190198715378,51.583588003696526,79.81563782991202,61.429674521865245
RJ Barrett,64.69469397263964,56.92572942993877,50.13242472774917,54.40908205066491,49.0692361848633,76.78304761464462,79.1336217008798,65.31061167544487
Rasheer Fleming,50.762072125307775,39.621495757605196,53.63759155500226,59.93512065812696,44.408323249001405,41.92396321854824,74.45797653958944,52.41334139726259
RayJ Dennis,57.20628970840489,58.679329298945206,57.181815649015334,61.85378694280324,41.90043709265458,44.96856858452585,75.34063049853373,55.265489569453706
Rayan Rupert,54.14836069284971,43.62163170333349,53.15313308962911,55.65946852079679,41.783303905809454,39.19589510127825,69.30105571847508,53.6746129793029
Reed Sheppard,70.81021282899295,56.92328728857956,73.12172520331956,63.32502693936706,38.09833805155646,53.78390691041622,77.78395894428152,63.5130618818103
Riley Minix,48.83769110097013,,54.98918090085495,58.895683208101154,43.922851046882144,44.51877929783565,60.998790322580646,59.040862143648326
Jalen Suggs,64.87024026906252,61.876715574679245,76.47600044268786,64.2020081757431,40.095511730262956,61.94324503260841,78.95131671554252,63.78436648347001
Jalen Williams,59.40280514532278,68.44176063958153,68.28552547478878,65.62823986293469,46.37680237925257,72.97483286934462,84.24676686217009,72.72110479781851
Rob Dillingham,54.28792102593446,63.21884577722461,60.93987558577136,55.265023498805434,35.642816358146256,44.54735661467248,70.42995601173021,54.048697588104154
Ron Harper Jr.,48.33224382808933,,49.045053311467065,59.953905037197075,48.16741627086667,42.20724226697499,63.66400659824047,54.981103389362616
Royce O'Neale,71.12601608341855,54.39037161878572,60.93843360801306,60.29124500701807,50.330687260749556,47.06185059365934,77.02535853931016,66.89910743025337
Rui Hachimura,63.1962802466879,39.079704055328186,50.40106460114766,55.55726119103774,46.03401715449306,60.50618891140191,80.61804147465439,63.57984526771688
Al Horford,67.52414818732798,56.36889911991169,57.071856502332565,72.43583178028979,60.778255701854064,51.55511997346205,80.90382893450635,71.7537060215623
Alex Caruso,61.6077049833852,60.20988134181022,83.37361023035398,66.0603783874605,38.89775866221392,46.23785416150981,78.76119403714564,67.8255319930652
Payton Pritchard,74.44089929343662,62.44003221173241,53.25048857969149,52.88430839688032,39.36260497902305,56.761683946235,81.96964076246334,67.14005644051844
Pelle Larsson,59.041844151368736,57.844089455157985,57.57794015959561,56.850653347027,37.13832409765811,48.62898169843668,76.71473607038124,60.36658000227412
Amir Coffey,59.87531374456195,44.85737807279402,48.87802835486871,53.997076121628076,31.26599678993352,45.61184295796211,79.13712903225806,60.14059205958693
Andre Drummond,40.431034268318,40.57236621693747,67.82194788161968,69.64853495896898,100.0,54.80880799074278,81.2686601033375,64.52838230085092
Andre Jackson Jr.,53.76030511959371,52.27939861634457,57.93384369179485,58.80979197446299,45.42495533102945,37.91325295045387,73.61454545454546,56.76103096711034
Andrew Nembhard,59.25029885446334,72.36544972302596,60.82277541282433,53.58306160783854,30.879219302553466,56.852564079690325,79.17397360703812,62.42501065263231
Andrew Wiggins,68.2360813361881,48.48913679860503,59.31244768097666,65.46115399767234,46.369353576463126,69.57617067469201,78.80416073174139,66.99550566128224
Anfernee Simons,80.59977970886152,62.473994002271425,49.00759765327005,51.580635051803284,30.968453816319453,71.29797126761935,82.0199569892473,64.96109132120598
Anthony Black,56.67148298067542,53.44013009150254,66.18556619424966,62.99769887155196,37.775421344448546,52.51676397243495,75.99236070381232,62.118407664988275
Anthony Davis,49.34140286827401,54.751050873654535,65.93050210388466,86.26617320281116,87.60194072765415,88.34772319638753,86.67958630079599,76.24107722848144
Anthony Gill,56.79967337049818,39.790295043945434,47.24772110052323,58.14557121983549,45.38278075165661,43.45050067623443,84.77091691104593,55.667816794415245
Antonio Reeves,68.34261801779357,43.69790455714567,52.647141686891686,54.68470152523682,36.42420122030861,48.669827302578796,72.99373167155426,57.16947829941729
Asa Newell,66.39664933004286,42.02903350783209,55.86187593394473,60.08587139916174,44.6162401348808,48.53011280205408,86.55762463343109,58.143860252410654
Ausar Thompson,46.86711741253715,52.07946412171724,76.35352688874065,67.96926589148217,61.59155244021213,55.47393019615489,77.59463343108503,65.46926225134088
Austin Reaves,68.69123867670135,66.51718428298685,55.600541827782806,55.28295909666501,40.363542427235316,72.00655170351057,85.28589149560118,71.23628372678577
Ayo Dosunmu,62.655513862403375,58.962982958272306,56.886145740441506,57.979093403331596,33.58699065236276,56.62823772885319,81.3337624633431,64.81140521143718
Bam Adebayo,48.035434820888185,57.781990830327985,65.88629998646539,66.41394464668396,78.39374487385386,76.63650804020924,84.53739002932551,75.2189130383656
Baylor Scheierman,64.3854124221346,47.8168464343992,58.51811263107358,57.47307741415992,43.56667204658585,42.89276854362613,81.75428885630498,59.0270774172478
Ben Saraf,56.090887879465335,59.05990772918919,57.95750241359134,58.62338131361939,40.98965349557412,46.41598301994083,72.59730205278592,54.470906501124674
Ben Sheppard,59.403992588060845,49.4042067651529,56.02979486494988,54.230358777769695,41.05421138229571,42.83075198995776,75.89297653958943,59.246205937327865
Bennedict Mathurin,66.20573213655632,43.92979154210683,51.76451281288115,53.38274137261598,47.27925430917839,72.29997435902351,80.66043255131964,61.61483009938971
Bilal Coulibaly,55.62320690133451,51.15523827016986,65.34839686101185,65.70644518721426,44.93498962734786,51.70402528478803,74.94195992179864,59.45890455989466
Bismack Biyombo,37.14189045814018,40.940371808347756,51.727112171440204,75.480460470095,64.46322890676834,41.0386176978206,76.33666980868594,59.2292072125779
Blake Wesley,49.58322388806666,64.42436920173672,68.82345185009578,55.939484135263484,34.91613637383696,43.1560806216787,71.41704545454546,55.61730237335935
Bobby Portis,65.86313813977738,42.99340554509166,53.29336047276988,58.078531967630624,79.93845695638936,64.18171319799691,81.40223704789834,65.862356031823
Bobi Klintman,57.39945468498884,50.42653166242614,54.79875360577933,58.11730683794181,45.86897202277741,42.21460982782001,67.02525659824047,54.796520490474315
Bones Hyland,71.40254045281739,61.78863449275272,61.53292484675214,56.97703286432651,34.709379475622825,55.03819657775804,79.9683111762789,59.1408151921768
Bradley Beal,65.15295085562698,64.37127622942323,57.418211245235,56.647814882792595,37.313844685725485,78.51926682216326,81.30834164222875,65.16005560997742
Branden Carlson,60.659282521833966,47.79612269318637,50.7450508290086,73.74441539904416,46.79791751248509,47.23334597461315,80.68187683284458,59.432717361180835
Brandin Podziemski,65.7199522974006,60.34609062916186,64.22388852578838,55.816442578005294,52.35236143349787,55.88055631335879,77.7304007820137,66.79123929625302
Brandon Ingram,63.52364066141019,68.57564303871446,53.65396751104554,59.55978360890016,47.81544749180915,84.07530203746201,82.92903616813295,67.87238934846103
Brandon Miller,74.63886079282943,53.32263084113096,57.71401804890799,64.14913339047779,39.61598008560516,72.13405851897252,78.7804007820137,61.68990881826201
Brandon Williams,54.79183242482572,63.144449947612216,61.90550414367429,56.4298591443592,36.68196181092466,55.880828064272386,76.49925586510264,57.356826504808474
Brice Sensabaugh,69.89036084368992,46.55981986517435,54.39482111569331,54.500275982248716,43.57413732846499,55.47854091140873,79.6811681329423,57.53012113871797
Bronny James,52.83600518748095,54.06642410545143,59.914098051143874,57.683188502893344,36.86596534919389,40.4582099662749,72.28065982404692,53.08275253819322
Brook Lopez,65.98204055236573,38.357981331046815,50.54287323080871,85.34117261442704,50.1780544599368,59.256747344154185,81.9226871945259,67.9626750980698
Brooks Barnhizer,55.13897769863705,49.91747183784257,54.2257264875052,60.799584096690516,46.82507040645469,41.53566918802021,76.23768328445749,58.12003786519866
Bruce Brown,53.98422965859059,52.15942261420996,62.392880100496846,59.001836104040805,49.0029548812049,51.977303208598606,78.84402492668619,61.94417333495265
Bub Carrington,64.63635531117013,65.47995152253726,50.960715800692824,53.52317463050658,41.31785999505814,47.46991282588525,73.5793181818182,56.37048516844199
Buddy Hield,81.24822721609,52.196916877040415,59.78487328643553,56.331720577358425,41.09518853560341,61.63086810727164,80.24052460084715,64.51864643551286
CJ McCollum,80.5816799665522,67.24975712616006,55.897011673721885,56.889951324837,38.06100224014359,78.99552639616809,80.7425946096914,68.12991135105231
Caleb Love,60.53826027919088,54.611641407874934,53.326746802707845,53.341672031756204,45.706608544973435,51.767072695521335,71.55543988269795,55.3267200852402
Caleb Martin,55.95713916387622,46.020558305991266,61.35365724430119,59.85979108577702,45.101122304486644,46.901944248873974,74.8464662756598,61.28841982505135
Cam Christie,52.54038479938974,46.291908372883256,58.118191085889094,59.25063143527572,44.60331444929574,43.37911817000207,67.99111436950146,55.00691980243246
Cam Spencer,71.36507057792605,65.16378322546657,57.51965239696747,55.47995325350041,37.600140635109256,53.57586068887885,85.24788123167156,62.14791203139247
Cam Thomas,66.80308454399858,51.94807756612522,49.54196192162311,51.64489095227386,31.467128396260403,76.60267701200114,81.05046920821114,60.768561247461186
Cam Whitmore,64.79135746334876,39.59181089788622,57.495159347507354,59.81834497598612,47.793634511681525,60.6758364375045,78.7526686217009,59.68832737329841
Cameron Johnson,75.09964504175353,49.00020366358733,58.55335660689646,56.74387012561226,42.11937471973269,62.82199337181484,82.71300726155562,68.13805800317787
Caris LeVert,64.88702403984138,65.40069374202152,61.7378354375901,59.73637912441432,38.18585598149855,64.6205669980832,78.38027859237539,65.32967712954286
Carter Bryant,55.391838277311315,36.15475889199814,50.74820403536163,56.91472724299536,45.397990521798796,41.63140187271948,73.7808797653959,52.07762901771732
Cason Wallace,62.87311452994607,50.75494236041445,81.18497511196401,61.99425137555036,36.580672178636576,47.53089609536408,79.4378103616813,67.95732571881406
Cedric Coward,62.63664993684672,53.77172942871013,54.956557820250055,58.54112996484859,57.81679474402742,61.95353540660882,81.67888563049854,63.746621305045394
Charles Bassey,42.08006396311937,44.32903149374139,56.34060873359673,77.38136802935608,78.62431760096928,44.370862741205315,82.83311730205278,59.688511708298655
Chaz Lanier,59.64062320205274,62.22555419047641,52.892883555125465,55.35412514278879,41.290048290772745,44.4079897560848,77.81611436950146,56.78059987349324
Chris Livingston,44.96299650826474,42.620661042879625,53.887241626814394,55.81288336776606,45.19279471980305,41.41494443772812,78.98544477028346,54.1815131921874
Chris Mañon,38.21187560089704,,52.39257143835435,75.84188260421445,42.92605027332338,36.81124739632504,34.80571847507331,51.96107429302309
Chris Paul,61.34374080710519,98.24141244080697,72.12003062680796,56.131516664021845,39.63939128518571,56.1029906719156,79.83495454545454,71.13876534623333
Christian Braun,55.073707991383024,49.198343998543194,56.32041601588189,57.950566957117466,45.37668810533923,53.878284436278065,80.09679252199413,65.11734379225483
Chucky Hepburn,38.24029067143755,,70.29258871353136,61.636331510455804,42.81987954679184,31.86783033092009,29.490469208211145,45.42581895653808
Coby White,73.50446761949738,65.39456636748542,52.083490239453006,52.35218117666878,36.12227921416077,70.26494885995551,81.70799120234602,65.89051077546875
Cody Martin,50.03725736607164,51.340570050698446,66.42590413316633,62.05675781356214,47.72411789926828,42.162174064368976,70.45079912023463,59.833574655444025
Cody Williams,47.942962001732255,41.45414989626461,50.58375047194878,56.92031570896174,34.82495926813036,38.305725103005564,61.9108357771261,51.93300663234125
Colby Jones,46.519920453331906,59.74629591838065,55.61228855589849,61.452807562422734,52.87322950404496,41.603334333147515,67.3448181818182,56.53007201927525
Cole Anthony,60.96810515163173,69.0118230114327,56.30093567986246,60.330865485649554,46.673405857202496,60.49533403986764,78.4924393939394,63.66875680222773
Collin Gillespie,71.90843118835609,64.33438013723,63.089839476337794,56.9945177599908,40.65646872789159,52.23485039205717,80.66299120234603,61.78361246859254
Collin Murray-Boyles,62.631513902999565,45.33723486122075,59.20704268419901,60.04116752193814,49.100674532691855,51.32829884975114,81.13985337243402,60.20534426773323
Collin Sexton,62.5420089506246,62.192115495810306,55.33195349535862,52.14217612682566,33.09341944111471,75.88697393876092,82.86968768328447,64.40171078869882
Cooper Flagg,54.49655962669624,54.00540093616671,66.71975437370793,63.092048502921855,54.82365025399167,68.72087581780016,81.15134897360704,65.12409637943884
Corey Kispert,71.93557913870465,45.04632941855263,47.73735845722096,53.546376460780586,34.537013744130995,55.824107151065036,81.0926715542522,61.62253297474422
Curtis Jones,42.70340217499147,,38.54746109983998,45.56656424610128,43.17280213491097,38.843034336666136,57.21373900293255,41.93996099190507
D'Angelo Russell,74.08189486311117,79.06620878645384,58.72454591491245,56.90008818437927,32.779781141606016,69.58803931287208,79.81999837080483,66.22578393278212
DaRon Holmes II,90.62273361802207,,50.72390459018036,57.75506826809324,40.28982335263618,46.614689635824085,100.0,59.52467835572264
Dalen Terry,52.0575385080122,52.01309556010335,64.06107668920427,61.87274679296393,40.55478855488431,41.29534718327555,73.62992302052785,57.28104526136801
Dalton Knecht,66.92399514751173,40.35658484368655,48.84915872386769,57.04000612593559,39.76715602385477,52.17015791221539,78.16708944281524,59.80394866002015
Daniel Gafford,38.00105833013196,41.36664975076832,56.069355443626776,88.94241260992109,73.38582346606958,57.496912778887946,90.53434157240608,69.62804029247343
Daniss Jenkins,52.76841937829209,60.03000826767888,55.147059078380586,53.75554300239401,39.42363142964898,46.04377759926103,63.49103372434018,53.05572157266118
Danny Wolf,66.34295414400827,52.243221672696194,48.829405178368134,58.34929249926023,51.10679461588107,52.727582534419156,83.32560117302053,57.85532383061506
