player_name_clean,year_ahead,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
alex sarr,3,0.0015,0.0294,0.0025,0.0002,0.0021,-0.001,0.0228,0.0008
alex sarr,4,-0.0064,0.0148,-0.0302,-0.0103,-0.0115,-0.0067,0.0126,-0.0347
alex sarr,5,-0.0074,0.0057,-0.0238,-0.0145,-0.0025,-0.0067,0.0031,-0.0245
alperen sengun,1,-0.0127,-0.046,-0.0426,-0.0175,-0.0022,-0.0109,0.0237,0.0001
alperen sengun,2,-0.0225,-0.0527,-0.0294,-0.0111,-0.0008,-0.02,0.0191,-0.0026
alperen sengun,3,-0.0256,-0.0551,-0.0191,-0.0076,-0.029,-0.0243,0.0151,-0.0403
alperen sengun,4,-0.0234,-0.0488,-0.0427,-0.0082,-0.0207,-0.0234,0.0196,-0.0429
alperen sengun,5,-0.0212,-0.0465,-0.041,-0.019,-0.0133,-0.0242,0.0209,-0.0307
amari williams,1,0.0315,0.0214,0.0441,0.1343,0.0215,0.0322,0.0258,0.1217
amari williams,2,0.0256,0.0283,0.0308,0.137,0.0211,0.0236,0.0167,0.0688
amari williams,3,0.0224,0.0466,0.0293,0.1401,0.022,0.0233,0.0141,0.0649
amari williams,4,0.0259,0.0109,0.0245,0.1393,0.031,0.0272,0.0023,0.0494
amari williams,5,0.0257,0.0143,0.0219,0.1251,0.0277,0.0294,-0.0032,0.0221
amen thompson,1,0.0037,-0.0301,0.0293,-0.0208,0.0025,0.0069,-0.0126,-0.0071
amen thompson,2,0.0011,-0.0151,0.0128,-0.022,-0.0059,0.0048,-0.0132,-0.0127
amen thompson,3,-0.0198,-0.0367,-0.0208,-0.011,-0.015,-0.0175,-0.0123,-0.0352
amen thompson,4,-0.0221,-0.0425,-0.0253,-0.0209,-0.0188,-0.0222,-0.0132,-0.0418
amen thompson,5,-0.0269,-0.0369,-0.0133,-0.0238,-0.0285,-0.0319,-0.01,-0.0042
amir coffey,1,0.0247,0.0073,0.0305,0.0797,0.0263,0.031,-0.0003,0.0344
amir coffey,2,0.0248,0.0167,0.0401,0.0825,0.0216,0.0297,0.0003,0.0306
amir coffey,3,0.0277,0.0114,0.0297,0.0741,0.0148,0.0287,-0.0029,0.0187
