player_name_clean,season,Shooting_pct_delta_adj,Playmaking_pct_delta_adj,Perimeter_Defense_pct_delta_adj,Interior_Defense_pct_delta_adj,Rebounding_pct_delta_adj,Scoring_pct_delta_adj,Efficiency_pct_delta_adj,Impact_pct_delta_adj
aaron gordon,2021-22,,,,,,,,
aaron gordon,2022-23,-0.0161734550347958,0.10491561356490771,0.1162802801740932,0.0731798225961226,0.0066594842988176,-0.0156283651207701,0.07550148524509641,-0.08587565648538051
aaron gordon,2023-24,-0.02709546368934955,0.09394386363573609,0.03725259478329985,-0.04359415742944105,0.024177691614431,-0.0271132591879226,-0.00215772706608805,0.002660581800228202
aaron gordon,2024-25,-0.04197858866475731,-0.02339054753843085,-0.12103131265796624,-0.11602549610105509,-0.07569641836711036,-0.04185067207899115,-0.0014746358817420997,-0.09049311234141849
aaron gordon,2025-26,0.004822460843390348,-0.043703690282255944,-0.00022844035669879995,-0.009960525382126648,0.0011338250874905996,0.003802237407921249,0.019730159977032702,-0.0397088497810085
aaron holiday,2021-22,,,,,,,,
aaron holiday,2022-23,-0.09746675344893581,-0.1386280028724093,-0.0409144578383922,0.0910743375144558,-0.083195813018309,-0.0976682480757816,-0.0357571515003682,-0.1059349254301952
aaron holiday,2023-24,0.07742090969283814,-0.0075575566730707,0.00400579674030435,-0.13115773986575596,0.008076789110242899,0.0767310031327162,-0.0011168303081668506,0.1104254636678492
aaron holiday,2024-25,0.0026740120716571975,-0.039212628484365644,-0.09856724586965615,0.0670906111082416,-0.010125761189919251,0.0027390297024012487,0.0094613833377476,-0.0621792107444151
aaron holiday,2025-26,0.051946649028047145,0.0005596383181136495,0.034513291314441905,0.05333793753698545,0.0305742936707959,0.05141455528552095,0.0162806119204661,0.0279275371303604
aaron nesmith,2021-22,,,,,,,,
aaron nesmith,2022-23,0.3504617333111021,0.0362576995910565,0.4056188318655959,0.7001962569920704,0.2769431714256455,0.3475141931263945,-0.0148002573439374,1.0664393446817029
aaron nesmith,2023-24,0.15044951622857827,0.028156917915083,0.16835359685371937,0.3107912964572368,0.0730626691732179,0.14974961772942091,0.028046375404557747,0.2150624652274454
aaron nesmith,2024-25,-0.008576383705827903,-0.022948407696890053,-0.062217148813031455,-0.0552943472411837,-0.019002209738268355,-0.00840150607618375,0.0323959696893408,-0.0597558319102662
aaron nesmith,2025-26,0.028264250881548547,0.03181581954110655,-0.0007289406601615998,-0.00324394382532895,0.0246440241341394,0.02797889384114725,-0.00019662764664710002,-0.0025745385599987
aaron wiggins,2021-22,,,,,,,,
aaron wiggins,2022-23,0.034413439180456695,0.013553678643161501,0.11973098048141359,0.1558295282231858,0.0519362382961157,0.034449287436398,0.0290457383967082,0.0186615216832126
aaron wiggins,2023-24,0.040075790053312556,0.004810590672919203,0.16114536538415536,0.11045053951334075,-0.007982731337512,0.0403757445958578,0.04809084860601985,-0.014791657626002399
aaron wiggins,2024-25,0.17622347340098202,0.10573027888142686,0.09209193583408065,0.0735137905486999,0.10665935285599015,0.17604716984635904,0.0293750318703153,0.09958642269888991
