player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting
alex caruso,1,-0.006204,0.003249,-0.001929,0.057763,0.015386,0.020836,0.033054,0.031568
alex caruso,2,-0.009485,0.003887,-0.002023,0.058917,0.020987,0.019297,0.029111,0.021531
alex caruso,3,-0.012294,0.008331,-0.004494,0.079176,0.020893,0.019188,0.041017,0.044595
alex caruso,4,-0.008896,0.013106,-0.004183,0.069258,0.019753,0.03654,0.048863,0.05028
alex caruso,5,-0.015536,0.012362,-0.006601,0.074268,0.012914,0.02909,0.055897,0.057202
alex sarr,1,0.030389,0.0274,0.023862,0.060987,0.031306,0.016967,0.030437,0.019311
alex sarr,2,0.028242,0.006177,0.020019,0.039555,0.041524,0.00857,0.024706,0.01743
alex sarr,3,0.027194,0.005868,0.035623,0.035992,0.054567,0.001954,0.019424,0.01168
alex sarr,4,0.014454,-0.0323,0.020369,0.000851,0.032151,-0.01429,0.010658,0.002641
alex sarr,5,0.004695,-0.027394,0.02021,0.004815,0.025438,-0.001849,0.010839,0.001871
alperen sengun,1,0.021642,0.030006,0.0127,-0.00543,-0.0012,0.028792,0.011225,0.00983
alperen sengun,2,0.019175,0.027258,0.016473,0.0016,-0.004,0.029158,0.003017,0.00093
alperen sengun,3,0.014054,-0.00962,0.022933,0.010059,-0.01936,0.00355,-0.00334,-0.00211
alperen sengun,4,0.024533,-0.010463,0.021704,-0.011483,-0.01205,0.011235,-0.00171,-0.00173
alperen sengun,5,0.021212,0.000725,0.010517,-0.00892,-0.00672,0.015706,-0.002,1.7e-05
amari williams,1,0.021747,0.102242,0.01207,0.040308,0.019145,0.0199,0.034352,0.032885
amari williams,2,0.013008,0.072748,0.013127,0.030303,0.027512,0.016637,0.022211,0.025712
amari williams,3,0.014603,0.075285,0.012156,0.025236,0.044788,0.017135,0.019045,0.021211
amari williams,4,0.00141,0.052076,0.013321,0.021601,0.009785,0.027802,0.025653,0.023989
amari williams,5,-0.004861,0.020458,0.009544,0.01738,0.011348,0.02597,0.030616,0.022411
amen thompson,1,-0.00536,0.02415,0.006904,0.0597,0.008192,0.031133,0.027531,0.025681
amen thompson,2,-0.00373,0.020496,0.008479,0.044731,0.0162,0.02259,0.024828,0.021583
amen thompson,3,-0.00246,0.000727,0.020125,0.008008,-0.0034,0.015788,0.002575,0.001935
amen thompson,4,-0.00728,-0.005454,0.010331,0.004107,-0.008983,0.0129,-0.000558,-0.000442
amen thompson,5,-0.008467,0.021326,0.00675,0.015756,-0.003908,0.00353,-0.00357,-0.00105
amir coffey,1,0.019845,0.055813,-0.009989,0.050142,0.027353,0.04398,0.050054,0.043365
amir coffey,2,0.023517,0.052975,-0.010208,0.058854,0.035378,0.038395,0.049825,0.045001
amir coffey,3,0.01776,0.042895,-0.011087,0.04067,0.029332,0.033568,0.048257,0.049395
amir coffey,4,0.016731,0.024675,-0.011488,0.039484,0.055199,0.032485,0.040544,0.041952
amir coffey,5,0.016072,0.026849,-0.012627,0.031152,0.026577,0.027532,0.043781,0.049504
andre drummond,1,-0.01851,-0.002184,-0.000874,0.0259,0.021291,0.009866,0.021835,0.022206
