,player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting,bucket
0,aaron gordon,1,82.5139620284195,67.9252188776245,60.1993699274368,53.7695218339081,52.1201663716555,61.7283069277344,69.5697636125107,60.8059454704437,aging_elite
1,aaron gordon,2,81.0892276744003,66.3602386091461,60.2481994829483,54.8486400857086,52.2696830584526,67.2064887667236,71.7981428620834,60.4927129293594,aging_elite
2,aaron gordon,3,80.2224787453766,67.164566499423,60.1187614999123,55.9277583375092,52.2388136452854,66.3765705013809,73.8457626817246,59.8071821476135,aging_elite
3,aaron gordon,4,79.6003007868881,68.0613424454441,59.9893235168762,57.121344925415,52.1118545002162,68.4987810040054,76.212800931694,60.3354099537048,aging_elite
4,aaron gordon,5,79.2310856560822,68.7255563412418,59.4478624961681,57.3902052655334,52.0766197434485,67.2653081799087,78.361669492485,60.8575261379395,aging_elite
5,aaron holiday,1,75.6468084508362,59.5121741575165,57.78233430867,58.117703787384,54.000278005125,30.485436114151,46.9577589578705,62.2232506474304,prime_good
6,aaron holiday,2,73.3740781957092,59.1622827094955,59.4157774258118,58.6651525655365,54.1540846170206,31.8352823580093,45.602835947998,59.5450308522034,prime_good
7,aaron holiday,3,73.1967766457977,59.6642169755859,60.6113433647614,59.2491065660095,54.2988721669931,32.8928650940247,45.5140309504943,58.6688879927444,prime_good
8,aaron holiday,4,74.2365986043396,60.1607957643433,61.1021001744728,59.8949287572479,54.5266759337206,33.3577439213581,45.6189907885866,59.2795880934048,prime_good
9,aaron holiday,5,75.4208791548195,61.3769518357677,61.2705391455154,59.4048775115585,54.9068772436399,33.8095801795311,46.0569072164373,59.9833465715694,prime_good
10,aaron nesmith,1,79.4733781799622,63.7497545032158,60.0970130048523,56.5389443067017,41.4258168280792,46.07099245129395,58.2857606054077,66.4758104209595,prime_good
11,aaron nesmith,2,79.9238519415207,64.8106628565445,61.3685171685944,57.1654696134033,42.2233710826111,48.637980442626954,61.6984953523407,65.0744723205261,prime_good
12,aaron nesmith,3,80.0284230217285,66.4946318982496,62.5650028072128,57.8403960374298,42.9175497830582,51.0576028638916,64.6572467923889,65.2872195367508,prime_good
13,aaron nesmith,4,80.0750020012207,68.9303094027891,63.4419003210793,58.5864164975586,43.7793901503754,54.4691362196045,67.9617590547333,65.3925589446716,prime_good
14,aaron nesmith,5,80.0630876049347,70.6110306470051,64.3187978349457,58.4549225953522,44.5641025841904,55.95812962590025,70.90865632302855,64.5844211702042,prime_good
15,aaron wiggins,1,79.5291753081512,62.3824010341034,59.7044872546463,57.3891793761444,46.7501148116569,41.598240007431,55.236878479641,63.0504777176209,prime_good
16,aaron wiggins,2,78.0045651225281,62.6920416562424,60.7714790606766,58.1431758914185,47.3269547355156,40.7260610952682,55.5262487482243,60.805743907196,prime_good
17,aaron wiggins,3,76.5425808219147,63.3858904807434,61.6262278461723,58.8265447173309,47.992942942379,39.7518321171112,55.5609558325224,59.95741245578,prime_good
18,aaron wiggins,4,77.5902740506363,64.143527540432,62.5071499848633,59.5463458094788,48.6589311492424,39.5447193875618,55.6368696268611,60.8553702352471,prime_good
19,aaron wiggins,5,78.6830724982452,64.7536063878403,62.8153720402985,59.8815683160019,49.1468621027451,39.555895884306,55.9086414750629,62.5170793054528,prime_good
20,ace bailey,1,78.310638761486,58.9342443820801,59.3976200891724,60.0284480340729,47.973292299614,54.728742,56.8527247731857,65.6381214628468,young_weak
21,ace bailey,2,78.6569214224472,59.7263259020414,60.8840545488586,61.7321950681457,49.167870351181,56.5533723796768,59.2710087125473,66.4747845152864,young_weak
22,ace bailey,3,79.0006789922371,60.640391412076,61.3073011709442,62.6249999292145,50.210395284996,57.3437395657463,61.8144230668716,68.0578861454973,young_weak
