player_name_clean,year_ahead,attribute,value,percentile
aaron nesmith,1,Efficiency,79.4733781799622,61.5
aaron nesmith,1,Impact,63.7497545032158,65.1
aaron nesmith,1,Interior_Defense,60.0970130048523,51.9
aaron nesmith,1,Perimeter_Defense,56.5389443067017,41.7
aaron nesmith,1,Playmaking,41.4258168280792,11.6
aaron nesmith,1,Rebounding,46.0709924512939,50.3
aaron nesmith,1,Scoring,58.2857606054077,68.5
aaron nesmith,1,Shooting,66.4758104209595,79.6
aaron nesmith,2,Efficiency,79.9238519415207,66.7
aaron nesmith,2,Impact,64.8106628565445,71.1
aaron nesmith,2,Interior_Defense,61.3685171685944,57.9
aaron nesmith,2,Perimeter_Defense,57.1654696134033,36.5
aaron nesmith,2,Playmaking,42.2233710826111,10.2
aaron nesmith,2,Rebounding,48.637980442627,53.9
aaron nesmith,2,Scoring,61.6984953523407,72.1
aaron nesmith,2,Shooting,65.0744723205261,73.7
aaron nesmith,3,Efficiency,80.0284230217285,66.7
aaron nesmith,3,Impact,66.4946318982496,76.0
aaron nesmith,3,Interior_Defense,62.5650028072128,65.1
aaron nesmith,3,Perimeter_Defense,57.8403960374298,33.9
aaron nesmith,3,Playmaking,42.9175497830582,8.6
aaron nesmith,3,Rebounding,51.0576028638916,58.5
aaron nesmith,3,Scoring,64.6572467923889,74.1
aaron nesmith,3,Shooting,65.2872195367508,74.5
aaron nesmith,4,Efficiency,80.0750020012207,66.3
aaron nesmith,4,Impact,68.9303094027891,83.2
aaron nesmith,4,Interior_Defense,63.4419003210793,72.3
aaron nesmith,4,Perimeter_Defense,58.5864164975586,33.7
aaron nesmith,4,Playmaking,43.7793901503754,8.6
aaron nesmith,4,Rebounding,54.4691362196045,67.5
aaron nesmith,4,Scoring,67.9617590547333,76.8
aaron nesmith,4,Shooting,65.3925589446716,74.3
aaron nesmith,5,Efficiency,80.0630876049347,64.3
aaron nesmith,5,Impact,70.6110306470051,84.2
aaron nesmith,5,Interior_Defense,64.3187978349457,77.2
aaron nesmith,5,Perimeter_Defense,58.4549225953522,31.1
aaron nesmith,5,Playmaking,44.5641025841904,7.4
aaron nesmith,5,Rebounding,55.9581296259002,69.7
aaron nesmith,5,Scoring,70.9086563230286,78.8
aaron nesmith,5,Shooting,64.5844211702042,69.1
aaron wiggins,0,Efficiency,81.560795,67.9
aaron wiggins,0,Impact,63.754286,62.3
aaron wiggins,0,Interior_Defense,57.862428,42.1
aaron wiggins,0,Perimeter_Defense,56.35077,50.1
aaron wiggins,0,Playmaking,45.909023,38.9
aaron wiggins,0,Rebounding,42.724007,41.1
aaron wiggins,0,Scoring,54.841818,60.9
aaron wiggins,0,Shooting,65.365082,69.7
aaron wiggins,1,Efficiency,79.5291753081512,62.3
aaron wiggins,1,Impact,62.3824010341034,57.1
aaron wiggins,1,Interior_Defense,59.7044872546463,49.3
aaron wiggins,1,Perimeter_Defense,57.3891793761444,47.3
aaron wiggins,1,Playmaking,46.7501148116569,36.3
aaron wiggins,1,Rebounding,41.598240007431,34.9
aaron wiggins,1,Scoring,55.236878479641,60.5
aaron wiggins,1,Shooting,63.0504777176209,63.3
aaron wiggins,2,Efficiency,78.0045651225281,55.7
