player_name_clean,season,Shooting_pct_delta_adj,Playmaking_pct_delta_adj,Perimeter_Defense_pct_delta_adj,Interior_Defense_pct_delta_adj,Rebounding_pct_delta_adj,Scoring_pct_delta_adj,Efficiency_pct_delta_adj,Impact_pct_delta_adj
aaron gordon,2021-22,,,,,,,,
aaron gordon,2022-23,-0.010206599538052934,0.11566716691170603,0.10519862112871016,0.07936785106834604,0.005178246444291249,-0.009750162709967527,0.07222715599587225,-0.06619646496106989
aaron gordon,2023-24,-0.029826155148456338,0.12556605038975283,0.04152379364242884,-0.013301345582829187,0.016732201865194793,-0.029840122960415327,-0.00983505015420178,0.012417900966361004
aaron gordon,2024-25,-0.07534797523214569,-0.0378669774836665,-0.11946495526008118,-0.15953885152707345,-0.10371223258019456,-0.07516805125721492,-0.010093290807193681,-0.08872568130802543
aaron gordon,2025-26,-0.02854692572399798,-0.05818012022749162,0.0013379170411863938,-0.05347388080814502,-0.026881989125593607,-0.0295151417703025,0.01111150505158124,-0.037941418747615425
aaron holiday,2021-22,,,,,,,,
aaron holiday,2022-23,-0.09149989795219299,-0.12787644952561109,-0.051996116883775305,0.09726236598667924,-0.08467705087283543,-0.09179004566497904,-0.039031480749592486,-0.08625573390588456
aaron holiday,2023-24,0.07469021823373147,0.024064630080946097,0.0082769955994333,-0.10086492801914403,0.0006312993610066377,0.0740041393602235,-0.008794153396280582,0.12018278283398208
aaron holiday,2024-25,-0.030695374495731186,-0.053689058429601394,-0.09700088847177102,0.023577255682223353,-0.038141575403003454,-0.03057834947582252,0.0008427284122961735,-0.06041177971102208
aaron holiday,2025-26,0.01857726246065895,-0.013916791627122019,0.03607964871232703,0.009824582110967133,0.0025584794577117285,0.018097176107297254,0.007661956995014678,0.029694968163753544
aaron nesmith,2021-22,,,,,,,,
aaron nesmith,2022-23,0.356428588807845,0.04700925293785485,0.39453717282021283,0.7063842854642939,0.2754619335711191,0.35339239553719715,-0.01807458659316162,1.0861185362060135
aaron nesmith,2023-24,0.1477188247694715,0.05977910466909976,0.17262479571284836,0.3410841083038487,0.06561717942398161,0.1470227539569282,0.02036905231644419,0.22481978439357822
aaron nesmith,2024-25,-0.041945770273216235,-0.037424837642125765,-0.06065079141514635,-0.098807702667202,-0.04701802395135254,-0.04171888525440753,0.02377731476388937,-0.05798840087687311
aaron nesmith,2025-26,-0.005105135685839743,0.017339389595870995,0.0008374167377235514,-0.046757299251347355,-0.003371790078944807,-0.005338485337076519,-0.008815282572098656,-0.0008071075266056327
aaron wiggins,2021-22,,,,,,,,
aaron wiggins,2022-23,0.040380294677199606,0.024305231989959812,0.10864932143603051,0.16201755669540926,0.05045500044158937,0.04032748984720066,0.02577140914748406,0.03834071320752338
aaron wiggins,2023-24,0.037345098594205824,0.03643277742693599,0.16541656424328433,0.14074335135995275,-0.015428221086748394,0.03764888082336516,0.04041352551790627,-0.005034338459869628
aaron wiggins,2024-25,0.14285408683359374,0.0912538489361912,0.09365829323196583,0.030000435122681655,0.07864353864290609,0.14272979066813535,0.02075637694486389,0.10135385373228309
aaron wiggins,2025-26,-0.003997963463842035,0.01530785639551134,-0.004295438854937786,0.023288834815189445,-0.013122327265242525,-0.004133334165172538,-0.01155004231750576,-0.0030705727483617295
ace bailey,2025-26,,,,,,,,
adem bona,2024-25,,,,,,,,
adem bona,2025-26,-0.14237322399605676,-0.07281548073718616,-0.1478082731142632,-0.13176344649999824,-0.11699622840221378,-0.14234187495828657,-0.0732386205264387,-0.1915998396937768
adou thiero,2025-26,,,,,,,,
aj green,2022-23,,,,,,,,
aj green,2023-24,-0.04655743453691992,-0.05948117553896102,-0.0813998049422467,-0.04935718323267185,-0.08139349473632504,-0.046981517320637385,-0.03129184349560443,0.386897822750808
aj green,2024-25,0.07173612284275403,0.05427342635351434,0.22002254146677325,-0.10577075914417042,0.04874262380568786,0.07021108192720994,-0.052339922971682246,0.8180676515381808
aj green,2025-26,-0.039735155290744124,-0.04097563000708382,-0.06600448543174306,-0.12948576716981092,-0.07926129094875804,-0.039931880990242495,-0.017623762785329886,0.10702130885216185
aj johnson,2024-25,,,,,,,,
aj johnson,2025-26,0.06281913493878655,0.06273129407702561,0.12162208951418389,0.0773027472574328,0.06869460722903585,0.06264646440360262,0.008209722842618327,0.08124863242117711
ajay mitchell,2024-25,,,,,,,,
ajay mitchell,2025-26,0.029952341284015676,0.2916324915165701,0.821703221647717,-0.042482271956011286,-0.11121075471596306,0.030013931778887323,0.05096008859319654,1.272261592714547
al horford,2021-22,,,,,,,,
al horford,2022-23,-0.05015125645575672,-0.06397621076656373,-0.17004728353253368,-0.16072896535370876,-0.12027570343688318,-0.05069054292810371,-0.04932063704435115,-0.021295361712719528
al horford,2023-24,-0.04242006767000497,-0.061350594467025815,-0.013962852835887721,-0.06070736328523709,-0.03392622336168165,-0.04248729980560515,-0.007204108608768971,-0.037929192784238806
al horford,2024-25,-0.03633095885088951,-0.07928938736728638,-0.025230797714839992,-0.07420966711287831,-0.04299369041993516,-0.036384428551745444,-0.025702818497590176,-0.03118921333399054
al horford,2025-26,-0.005993626979485049,-0.025442424300258844,0.050209332823250394,-0.01838411422570753,-0.00420731094129866,-0.006288775104857755,-0.025434031817404557,6.258727645827929e-05
alex caruso,2021-22,,,,,,,,
alex caruso,2022-23,0.03203551141638222,0.02042864017949815,0.1749657704915563,0.6796180139599961,0.06796163841898917,0.03121414049822501,-0.015063355985221627,0.18722835269386787
